position_bucket,candidate_hero,enemy_hero,response_count,candidate_bucket_count,enemy_seen_count,normalized_response_score
10,c1109,c1022,5,34,1011,0.026968
10,c1109,c1091,4,34,136,0.058824
10,c1109,c1104,3,34,475,0.023607
10,c1109,c1117,7,34,1352,0.032649
10,c1109,c1168,5,34,907,0.028473
10,c1109,c1171,6,34,829,0.035738
10,c1109,c1183,7,34,1197,0.034699
10,c1109,c2049,9,34,291,0.090481
10,c1109,c2124,26,34,2195,0.095174
10,c1109,c2129,22,34,1191,0.109327
10,c1109,c2131,13,34,1420,0.059164
10,c1109,c2184,6,34,1481,0.026738
10,c1109,c2185,6,34,2401,0.021
10,c1109,c4004,11,34,510,0.083535
10,c1109,c5154,9,34,1929,0.035143
10,c1109,c6037,4,34,792,0.024376
10,c1112,c1127,3,18,7,0.267261
10,c1112,c1133,14,18,893,0.110425
10,c1112,c1153,3,18,596,0.028964
10,c1112,c1172,3,18,1625,0.017541
10,c1112,c2076,5,18,1071,0.036011
10,c1112,c2102,3,18,66,0.087039
10,c1112,c2110,4,18,434,0.045256
10,c1112,c2124,5,18,2195,0.025155
10,c1112,c2127,7,18,155,0.132524
10,c1112,c2181,4,18,1192,0.027308
10,c1112,c2185,4,18,2401,0.019241
10,c1112,c5069,6,18,1319,0.03894
10,c1112,c5072,4,18,680,0.036155
10,c1112,c5154,3,18,1929,0.0161
10,c1112,c6005,3,18,1154,0.020815
10,c1117,c1007,3,326,119,0.015231
10,c1117,c1022,23,326,1011,0.040063
10,c1117,c1034,4,326,84,0.024172
10,c1117,c1046,13,326,184,0.053079
10,c1117,c1083,8,326,106,0.043036
10,c1117,c1104,35,326,475,0.088943
10,c1117,c1109,4,326,107,0.021417
10,c1117,c1133,50,326,893,0.092669
10,c1117,c1143,6,326,230,0.021912
10,c1117,c1148,5,326,62,0.035169
10,c1117,c1153,9,326,596,0.020418
10,c1117,c1168,21,326,907,0.03862
10,c1117,c1171,25,326,829,0.04809
10,c1117,c1172,114,326,1625,0.156628
10,c1117,c1176,16,326,880,0.029872
10,c1117,c1178,14,326,405,0.038529
10,c1117,c1182,8,326,299,0.025624
10,c1117,c1183,44,326,1197,0.070436
10,c1117,c2001,6,326,139,0.028186
10,c1117,c2007,19,326,644,0.041467
10,c1117,c2024,29,326,661,0.062472
10,c1117,c2038,3,326,20,0.037153
10,c1117,c2048,7,326,58,0.050907
10,c1117,c2049,5,326,291,0.016234
10,c1117,c2066,64,326,521,0.155293
10,c1117,c2071,7,326,604,0.015775
10,c1117,c2076,107,326,1071,0.181084
10,c1117,c2090,5,326,128,0.024477
10,c1117,c2099,3,326,15,0.042901
10,c1117,c2102,6,326,66,0.040904
10,c1117,c2103,27,326,619,0.060105
10,c1117,c2106,4,326,20,0.049538
10,c1117,c2110,15,326,434,0.039878
10,c1117,c2112,10,326,182,0.041054
10,c1117,c2124,73,326,2195,0.086297
10,c1117,c2127,7,326,155,0.03114
10,c1117,c2129,62,326,1191,0.099501
10,c1117,c2131,62,326,1420,0.091125
10,c1117,c2181,32,326,1192,0.051334
10,c1117,c2184,80,326,1481,0.115134
10,c1117,c2185,141,326,2401,0.159373
10,c1117,c4004,21,326,510,0.051502
10,c1117,c4123,8,326,424,0.021518
10,c1117,c5001,3,326,27,0.031976
10,c1117,c5069,154,326,1319,0.234849
10,c1117,c5072,29,326,680,0.061593
10,c1117,c5111,6,326,260,0.020609
10,c1117,c5149,4,326,45,0.033025
10,c1117,c5154,87,326,1929,0.10971
10,c1117,c5175,8,326,80,0.049538
10,c1117,c6005,58,326,1154,0.094562
10,c1117,c6024,6,326,375,0.01716
10,c1117,c6037,27,326,792,0.053136
10,c1117,c6050,8,326,237,0.028781
10,c1126,c1022,5,13,1011,0.043614
10,c1126,c1104,4,13,475,0.050903
10,c1126,c1117,5,13,1352,0.037715
10,c1126,c1133,3,13,893,0.027844
10,c1126,c1172,4,13,1625,0.027521
10,c1126,c2181,10,13,1192,0.080332
10,c1126,c4004,3,13,510,0.036844
10,c1126,c5154,4,13,1929,0.025259
10,c1127,c2076,4,4,1071,0.061113
10,c1127,c2181,3,4,1192,0.043446
10,c1127,c2185,3,4,2401,0.030612
10,c1129,c1171,3,4,829,0.052097
10,c1131,c1172,8,8,1625,0.070165
10,c1131,c2007,3,8,644,0.041796
10,c1131,c2185,5,8,2401,0.036077
10,c1131,c6037,3,8,792,0.037689
10,c1133,c1007,6,72,119,0.06482
10,c1133,c1022,6,72,1011,0.022239
10,c1133,c1034,5,72,84,0.064293
10,c1133,c1046,5,72,184,0.043441
10,c1133,c1104,6,72,475,0.032444
10,c1133,c1143,11,72,230,0.08548
10,c1133,c1153,3,72,596,0.014482
10,c1133,c1168,24,72,907,0.093916
10,c1133,c1171,4,72,829,0.016373
10,c1133,c1172,37,72,1625,0.10817
10,c1133,c1177,4,72,145,0.039148
10,c1133,c1178,6,72,405,0.035136
10,c1133,c1183,8,72,1197,0.027251
10,c1133,c2007,5,72,644,0.02322
10,c1133,c2024,24,72,661,0.110013
10,c1133,c2048,3,72,58,0.046424
10,c1133,c2076,6,72,1071,0.021607
10,c1133,c2080,5,72,138,0.050161
10,c1133,c2102,5,72,66,0.072532
10,c1133,c2103,8,72,619,0.037895
10,c1133,c2110,12,72,434,0.067884
10,c1133,c2124,9,72,2195,0.022639
10,c1133,c2129,8,72,1191,0.027319
10,c1133,c2131,8,72,1420,0.02502
10,c1133,c2132,8,72,88,0.100504
10,c1133,c2181,11,72,1192,0.037548
10,c1133,c2184,13,72,1481,0.039811
10,c1133,c2185,25,72,2401,0.060128
10,c1133,c4004,3,72,510,0.015656
10,c1133,c5033,4,72,144,0.039284
10,c1133,c5069,5,72,1319,0.016225
10,c1133,c5072,5,72,680,0.022597
10,c1133,c5111,5,72,260,0.036544
10,c1133,c5154,21,72,1929,0.056349
10,c1133,c6005,11,72,1154,0.038161
10,c1133,c6037,7,72,792,0.029314
10,c1143,c1022,11,89,1011,0.036671
10,c1143,c1046,3,89,184,0.023443
10,c1143,c1091,5,89,136,0.045447
10,c1143,c1103,6,89,149,0.052103
10,c1143,c1104,7,89,475,0.034045
10,c1143,c1117,26,89,1352,0.074953
10,c1143,c1133,3,89,893,0.010641
10,c1143,c1153,11,89,596,0.047761
10,c1143,c1168,16,89,907,0.056315
10,c1143,c1171,13,89,829,0.04786
10,c1143,c1172,12,89,1625,0.031554
10,c1143,c1176,8,89,880,0.028586
10,c1143,c1178,3,89,405,0.015802
10,c1143,c1183,8,89,1197,0.02451
10,c1143,c2007,4,89,644,0.016708
10,c1143,c2024,3,89,661,0.012369
10,c1143,c2049,4,89,291,0.024855
10,c1143,c2066,5,89,521,0.02322
10,c1143,c2071,3,89,604,0.012939
10,c1143,c2076,3,89,1071,0.009717
10,c1143,c2103,6,89,619,0.025563
10,c1143,c2110,3,89,434,0.015264
10,c1143,c2124,56,89,2195,0.1267
10,c1143,c2129,40,89,1191,0.12286
10,c1143,c2131,30,89,1420,0.084388
10,c1143,c2181,18,89,1192,0.055264
10,c1143,c2184,25,89,1481,0.06886
10,c1143,c2185,9,89,2401,0.019469
10,c1143,c4004,4,89,510,0.018775
10,c1143,c4123,8,89,424,0.041182
10,c1143,c5069,9,89,1319,0.026268
10,c1143,c5072,10,89,680,0.040649
10,c1143,c5082,5,89,39,0.084868
10,c1143,c5111,5,89,260,0.032869
10,c1143,c5154,17,89,1929,0.041029
10,c1143,c6017,4,89,96,0.043274
10,c1143,c6037,9,89,792,0.033899
10,c1143,c6050,3,89,237,0.020656
10,c1147,c2124,3,4,2195,0.032017
10,c1148,c1133,5,24,893,0.034154
10,c1148,c1172,7,24,1625,0.035446
10,c1148,c1176,3,24,880,0.020643
10,c1148,c1183,5,24,1197,0.0295
10,c1148,c2024,5,24,661,0.039698
10,c1148,c2071,13,24,604,0.107974
10,c1148,c2080,6,24,138,0.104257
10,c1148,c2124,10,24,2195,0.043569
10,c1148,c2127,3,24,155,0.049187
10,c1148,c2131,3,24,1420,0.016251
10,c1148,c2181,3,24,1192,0.017737
10,c1148,c2184,4,24,1481,0.021217
10,c1148,c2185,7,24,2401,0.029161
10,c1148,c5072,4,24,680,0.031311
10,c1148,c5154,7,24,1929,0.032533
10,c1148,c6005,3,24,1154,0.018027
10,c1150,c1133,5,9,893,0.055773
10,c1150,c2024,3,9,661,0.038895
10,c1150,c2181,5,9,1192,0.048274
10,c1150,c2185,3,9,2401,0.020408
10,c1150,c4158,4,9,33,0.232104
10,c1150,c6005,3,9,1154,0.029437
10,c1153,c1022,12,203,1011,0.026489
10,c1153,c1046,18,203,184,0.093136
10,c1153,c1104,7,203,475,0.022543
10,c1153,c1109,3,203,107,0.020355
10,c1153,c1117,11,203,1352,0.020997
10,c1153,c1133,9,203,893,0.021138
10,c1153,c1143,30,203,230,0.138838
10,c1153,c1147,7,203,31,0.088241
10,c1153,c1160,6,203,39,0.067433
10,c1153,c1168,28,203,907,0.065254
10,c1153,c1171,13,203,829,0.03169
10,c1153,c1172,103,203,1625,0.179334
10,c1153,c1176,11,203,880,0.026026
10,c1153,c1177,12,203,145,0.069944
10,c1153,c1178,7,203,405,0.024413
10,c1153,c1182,7,203,299,0.028413
10,c1153,c1183,23,203,1197,0.046659
10,c1153,c2007,9,203,644,0.024892
10,c1153,c2024,37,203,661,0.101007
10,c1153,c2049,3,203,291,0.012343
10,c1153,c2066,11,203,521,0.033824
10,c1153,c2071,3,203,604,0.008568
10,c1153,c2076,24,203,1071,0.051472
10,c1153,c2080,16,203,138,0.095594
10,c1153,c2103,31,203,619,0.087452
10,c1153,c2110,57,203,434,0.192036
10,c1153,c2112,14,203,182,0.072836
10,c1153,c2124,42,203,2195,0.062919
10,c1153,c2126,4,203,34,0.048147
10,c1153,c2129,8,203,1191,0.01627
10,c1153,c2131,25,203,1420,0.046564
10,c1153,c2132,3,203,88,0.022446
10,c1153,c2181,9,203,1192,0.018296
10,c1153,c2184,54,203,1481,0.098485
10,c1153,c2185,75,203,2401,0.107428
10,c1153,c4004,4,203,510,0.012432
10,c1153,c5033,5,203,144,0.029244
10,c1153,c5069,44,203,1319,0.085032
10,c1153,c5072,35,203,680,0.094203
10,c1153,c5089,3,203,40,0.033292
10,c1153,c5111,12,203,260,0.052233
10,c1153,c5154,80,203,1929,0.127843
10,c1153,c6005,33,203,1154,0.068181
10,c1153,c6037,19,203,792,0.047385
10,c1153,c6050,22,203,237,0.1003
10,c1158,c1133,3,3,893,0.057961
10,c1159,c2066,3,5,521,0.058778
10,c1160,c1143,5,21,230,0.071944
10,c1160,c1153,3,21,596,0.026816
10,c1160,c1171,7,21,829,0.053053
10,c1160,c1172,4,21,1625,0.021653
10,c1160,c2066,4,21,521,0.038241
10,c1160,c2071,4,21,604,0.035517
10,c1160,c2076,5,21,1071,0.03334
10,c1160,c2110,5,21,434,0.052374
10,c1160,c2124,7,21,2195,0.032604
10,c1160,c2129,7,21,1191,0.044262
10,c1160,c2131,4,21,1420,0.023164
10,c1160,c2181,4,21,1192,0.025282
10,c1160,c2185,6,21,2401,0.026721
10,c1160,c4004,6,21,510,0.057977
10,c1160,c5069,3,21,1319,0.018026
10,c1160,c5154,9,21,1929,0.044716
10,c1160,c6024,3,21,375,0.033806
10,c1162,c1007,6,70,119,0.06574
10,c1162,c1020,3,70,46,0.052868
10,c1162,c1022,9,70,1011,0.033831
10,c1162,c1104,5,70,475,0.02742
10,c1162,c1117,10,70,1352,0.032506
10,c1162,c1133,12,70,893,0.047996
10,c1162,c1153,43,70,596,0.210521
10,c1162,c1168,8,70,907,0.03175
10,c1162,c1171,8,70,829,0.03321
10,c1162,c1172,12,70,1625,0.03558
10,c1162,c1178,3,70,405,0.017817
10,c1162,c1182,3,70,299,0.020737
10,c1162,c1183,14,70,1197,0.048365
10,c1162,c2004,3,70,34,0.061494
10,c1162,c2007,4,70,644,0.018839
10,c1162,c2024,9,70,661,0.04184
10,c1162,c2071,6,70,604,0.02918
10,c1162,c2076,12,70,1071,0.043827
10,c1162,c2103,3,70,619,0.014412
10,c1162,c2110,8,70,434,0.045898
10,c1162,c2124,24,70,2195,0.061227
10,c1162,c2127,3,70,155,0.028801
10,c1162,c2129,10,70,1191,0.034633
10,c1162,c2131,16,70,1420,0.050749
10,c1162,c2181,11,70,1192,0.038081
10,c1162,c2184,7,70,1481,0.021741
10,c1162,c2185,19,70,2401,0.046346
10,c1162,c4123,4,70,424,0.023218
10,c1162,c5033,7,70,144,0.069722
10,c1162,c5069,6,70,1319,0.019746
10,c1162,c5072,4,70,680,0.018334
10,c1162,c5111,3,70,260,0.022237
10,c1162,c5154,10,70,1929,0.027214
10,c1162,c6005,14,70,1154,0.049258
10,c1162,c6024,3,70,375,0.018516
10,c1162,c6037,10,70,792,0.042471
10,c1168,c1022,13,236,1011,0.026614
10,c1168,c1034,6,236,84,0.042614
10,c1168,c1046,7,236,184,0.033592
10,c1168,c1103,5,236,149,0.026664
10,c1168,c1104,17,236,475,0.050775
10,c1168,c1117,50,236,1352,0.088517
10,c1168,c1131,3,236,22,0.041635
10,c1168,c1133,14,236,893,0.030496
10,c1168,c1143,18,236,230,0.07726
10,c1168,c1147,4,236,31,0.046765
10,c1168,c1148,4,236,62,0.033068
10,c1168,c1160,4,236,39,0.041694
10,c1168,c1171,31,236,829,0.070086
10,c1168,c1172,84,236,1625,0.135643
10,c1168,c1176,14,236,880,0.030721
10,c1168,c1177,4,236,145,0.021623
10,c1168,c1178,29,236,405,0.093803
10,c1168,c1182,7,236,299,0.026352
10,c1168,c1183,22,236,1197,0.041392
10,c1168,c2001,4,236,139,0.022085
10,c1168,c2007,27,236,644,0.069257
10,c1168,c2024,37,236,661,0.09368
10,c1168,c2049,7,236,291,0.026711
10,c1168,c2062,3,236,6,0.079724
10,c1168,c2066,23,236,521,0.065592
10,c1168,c2071,13,236,604,0.034433
10,c1168,c2072,3,236,10,0.061754
10,c1168,c2076,28,236,1071,0.055694
10,c1168,c2079,3,236,100,0.019528
10,c1168,c2080,12,236,138,0.066494
10,c1168,c2103,33,236,619,0.08634
10,c1168,c2110,37,236,434,0.115611
10,c1168,c2112,7,236,182,0.033776
10,c1168,c2124,55,236,2195,0.076417
10,c1168,c2129,29,236,1191,0.0547
10,c1168,c2131,31,236,1420,0.05355
10,c1168,c2181,39,236,1192,0.073531
10,c1168,c2184,71,236,1481,0.120095
10,c1168,c2185,73,236,2401,0.096977
10,c1168,c4004,9,236,510,0.025942
10,c1168,c4123,12,236,424,0.037935
10,c1168,c5033,5,236,144,0.027123
10,c1168,c5069,50,236,1319,0.089617
10,c1168,c5072,31,236,680,0.077384
10,c1168,c5111,10,236,260,0.04037
10,c1168,c5154,62,236,1929,0.09189
10,c1168,c6005,44,236,1154,0.084313
10,c1168,c6017,3,236,96,0.019931
10,c1168,c6024,3,236,375,0.010084
10,c1168,c6037,20,236,792,0.046261
10,c1168,c6050,16,236,237,0.067653
10,c1171,c1022,10,88,1011,0.033526
10,c1171,c1104,13,88,475,0.063585
10,c1171,c1117,16,88,1352,0.046386
10,c1171,c1133,7,88,893,0.024971
10,c1171,c1153,3,88,596,0.0131
10,c1171,c1168,5,88,907,0.017698
10,c1171,c1172,11,88,1625,0.029089
10,c1171,c1176,36,88,880,0.129366
10,c1171,c1183,14,88,1197,0.043136
10,c1171,c2001,4,88,139,0.036167
10,c1171,c2002,3,88,46,0.047152
10,c1171,c2007,9,88,644,0.037806
10,c1171,c2066,13,88,521,0.060713
10,c1171,c2071,43,88,604,0.186513
10,c1171,c2076,7,88,1071,0.022801
10,c1171,c2103,4,88,619,0.017139
10,c1171,c2124,7,88,2195,0.015927
10,c1171,c2129,18,88,1191,0.0556
10,c1171,c2131,25,88,1420,0.070722
