first_pick_side,enemy_order_1_hero,candidate_hero,response_count,normalized_response_score
enemy,c5147,c2184,25,0.052558
enemy,c5147,c2185,47,0.119078
enemy,c5147,c5069,6,0.036396
enemy,c5147,c5154,55,0.118302
enemy,c5147,c6005,54,0.128598
enemy,c5154,c1022,6,0.02539
enemy,c5154,c1117,4,0.019405
enemy,c5154,c1183,109,0.135251
enemy,c5154,c2001,8,0.048952
enemy,c5154,c2007,15,0.030366
enemy,c5154,c2124,273,0.26488
enemy,c5154,c2129,14,0.040797
enemy,c5154,c2131,218,0.238362
enemy,c5154,c2181,40,0.066727
enemy,c5154,c2184,182,0.195212
enemy,c5154,c2185,125,0.161576
enemy,c5154,c4004,6,0.029108
enemy,c5154,c4123,8,0.072607
enemy,c5154,c5069,8,0.024759
enemy,c5154,c5072,10,0.032497
enemy,c5154,c5147,98,0.142791
enemy,c5154,c6005,84,0.102059
enemy,c6005,c1022,10,0.051116
enemy,c6005,c1117,10,0.058601
enemy,c6005,c1133,20,0.071139
enemy,c6005,c1168,24,0.113228
enemy,c6005,c1172,36,0.104006
enemy,c6005,c1178,8,0.098058
enemy,c6005,c1182,3,0.060048
enemy,c6005,c1183,45,0.067449
enemy,c6005,c2001,6,0.044348
enemy,c6005,c2007,53,0.129603
enemy,c6005,c2071,4,0.022798
enemy,c6005,c2076,7,0.03432
enemy,c6005,c2124,100,0.117202
enemy,c6005,c2129,4,0.01408
enemy,c6005,c2131,58,0.076605
enemy,c6005,c2181,57,0.11486
enemy,c6005,c2184,114,0.147702
enemy,c6005,c2185,85,0.132719
enemy,c6005,c5069,16,0.059815
enemy,c6005,c5072,6,0.023553
enemy,c6005,c5147,76,0.133763
enemy,c6005,c5154,68,0.09014
enemy,c6005,c5175,9,0.063691
enemy,c6005,c6037,4,0.016458
